Trail#,Year,State,Site,Core,Block,Long,Lat,Seq,Horizon,Depth_Start,Depth_End,Clay,Silt,Sand,CEC,TC,TOC,TIC,OM1,OM2,OM3,N,pH_salt,pH_water,EC1:1,BD_Measured,BD_Saxton,WC,Sample_Date,Sample_Tip,Field_Notes,Field_Notes2
1,2014,IA,Ames,1,1,-93.761410995404,42.021108285526,1,Ap,0,18,22.4,31.1,46.5,18.7,1.54,1.54,0,2.5,2.6488,2.84,0.143,6.1,6.7,.,1.39,1.45,0.158,4/23/2014,SR,,
1,2014,IA,Ames,1,1,-93.761410995404,42.021108285526,2,AB,18,30,24.7,28.6,46.7,18.1,1.15,1.15,0,2.5,1.978,2.32,0.111,6,6.7,.,1.51,1.46,0.17,4/23/2014,SR,,
1,2014,IA,Ames,1,1,-93.761410995404,42.021108285526,3,Bw1,30,64,22.5,27.6,49.9,14.44,0.62,0.62,0,1.4,1.0664,1.46,0.068,7.2,7.8,.,1.53,1.53,0.168,4/23/2014,SR,,
1,2014,IA,Ames,1,1,-93.761410995404,42.021108285526,4,C,64,115,15.2,39.3,45.5,8.6,2.65,0.13,2.52,0.3,0.2236,0.46,0.019,7.6,8.2,.,1.64,1.61,0.151,4/23/2014,SR,,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,1,Ap,0,18,26.3,38.3,35.4,23.8,1.96,1.96,0,3.7,3.3712,3.58,0.178,5.8,6.4,.,1.39,1.34,0.186,4/23/2014,SR,,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,2,A,18,40,28.8,35.4,35.8,23.4,1.62,1.62,0,3.2,2.7864,3.02,0.143,5.4,6.1,.,1.04,1.38,0.224,4/23/2014,SR,,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,3,AB,40,57,27.9,32.5,39.6,21.1,1.03,1.03,0,2.3,1.7716,2.11,0.093,5.6,6.3,.,.,1.44,0.221,4/23/2014,SR,,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,4,Bt,57,74,24.4,26.9,48.7,18.5,0.48,0.48,0,1.1,0.8256,1.17,0.054,5.9,6.5,.,1.53,1.54,0.184,4/23/2014,SR,,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,5,Bw,74,93,22.7,26.6,50.7,16.2,0.26,0.26,0,0.7,0.4472,0.84,0.028,6.5,7,.,1.52,1.57,0.164,4/23/2014,SR,Showed sand at 82-90 cm,
1,2014,IA,Ames,2,2,-93.761049978832,42.021181464561,6,C,93,120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4/23/2014,SR,,
1,2014,IA,Ames,3,3,-93.760653909007,42.020980260358,1,Ap,0,18,21.9,33.7,44.4,17.4,1.42,1.42,0,1.9,2.4424,2.66,0.149,4.77,5.4,.,1.22,1.48,0.15,4/23/2014,SR,,
1,2014,IA,Ames,3,3,-93.760653909007,42.020980260358,2,AB,18,36,25.6,36.9,37.5,18.6,1.24,1.24,0,2.5,2.1328,2.54,0.132,4.9,5.6,.,1.44,1.42,0.189,4/23/2014,SR,,
1,2014,IA,Ames,3,3,-93.760653909007,42.020980260358,3,Bw1,36,58,25.8,37.7,36.5,18.8,0.81,0.81,0,2.1,1.3932,1.89,0.081,5.3,6,.,1.37,1.44,0.2,4/23/2014,SR,,
1,2014,IA,Ames,3,3,-93.760653909007,42.020980260358,4,Bw2,58,86,18.2,24.7,57.1,14.1,0.33,0.33,0,0.9,0.5676,0.97,0.041,5.5,6.2,.,1.43,1.57,0.157,4/23/2014,SR,,
1,2014,IA,Ames,3,3,-93.760653909007,42.020980260358,5,C,86,113,8.9,17.7,73.4,7.4,0.5,0.19,0.31,0.4,0.3268,0.57,0.024,7.4,7.8,.,.,1.59,0.084,4/23/2014,SR,,
1,2014,IA,Ames,4,4,-93.760191344823,42.021069256707,1,Ap,0,18,15,23.4,61.6,13.3,0.98,0.98,0,2.3,1.6856,1.83,0.107,6.2,7,.,1.55,1.49,0.116,4/23/2014,SR,,
1,2014,IA,Ames,4,4,-93.760191344823,42.021069256707,2,AB,18,34,17.7,24.4,57.9,14.2,0.83,0.83,0,1.9,1.4276,1.73,0.084,6.1,6.9,.,1.54,1.51,0.158,4/23/2014,SR,,
1,2014,IA,Ames,4,4,-93.760191344823,42.021069256707,3,Bw1,34,65,14.5,23.9,61.6,11.3,0.4,0.4,0,1,0.688,1.05,0.042,6.4,7.2,.,1.46,1.57,0.119,4/23/2014,SR,,
