Year,State,Site,Site_Prod,Sam_Time,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Nitrate1,Nitrate2,Nitrate3,Ammonium1,Comment
2014,IA,Ames,Low,Post,101,1,2,40,0,45,0,1,1,0.5,.,.
2014,IA,Ames,Low,Post,102,1,3,80,0,90,0,1,0.5,0.5,.,.
2014,IA,Ames,Low,Post,103,1,9,40,40,45,45,1.5,0.5,1.5,.,.
2014,IA,Ames,Low,Post,104,1,14,40,240,45,270,1,0.5,1.5,.,.
2014,IA,Ames,Low,Post,105,1,16,80,160,90,180,2,3,10,.,.
2014,IA,Ames,Low,Post,106,1,13,40,200,45,225,1,3,3,.,.
2014,IA,Ames,Low,Post,107,1,10,40,80,45,90,1.5,0.5,5,.,.
2014,IA,Ames,Low,Post,108,1,5,160,0,180,0,1.5,1.5,4,.,.
2014,IA,Ames,Low,Post,109,1,1,0,0,0,0,2,0.5,0.5,.,.
2014,IA,Ames,Low,Post,110,1,4,120,0,135,0,1.5,0.5,0.5,.,.
2014,IA,Ames,Low,Post,111,1,12,40,160,45,180,1.5,0.5,4.5,.,.
2014,IA,Ames,Low,Post,112,1,11,40,120,45,135,1.5,0.5,2,.,.
2014,IA,Ames,Low,Post,113,1,15,80,80,90,90,1,0.5,1,.,.
2014,IA,Ames,Low,Post,114,1,6,200,0,225,0,1,0.5,1,.,.
2014,IA,Ames,Low,Post,115,1,7,240,0,270,0,2.5,1.5,2.5,.,.
2014,IA,Ames,Low,Post,116,1,8,280,0,315,0,1.5,2,3.5,.,.
2014,IA,Ames,Low,Post,201,2,5,160,0,180,0,2,0.5,1,.,.
2014,IA,Ames,Low,Post,202,2,16,80,160,90,180,0.5,2,6,.,.
2014,IA,Ames,Low,Post,203,2,7,240,0,270,0,1,1,3,.,.
2014,IA,Ames,Low,Post,204,2,11,40,120,45,135,2,1,0.5,.,.
2014,IA,Ames,Low,Post,205,2,1,0,0,0,0,2,0.5,0.5,.,.
2014,IA,Ames,Low,Post,206,2,12,40,160,45,180,2,0.5,1,.,.
2014,IA,Ames,Low,Post,207,2,9,40,40,45,45,2,0.5,0.5,.,.
2014,IA,Ames,Low,Post,208,2,3,80,0,90,0,3,1,1,.,.
2014,IA,Ames,Low,Post,209,2,4,120,0,135,0,1.5,0.5,0.5,.,.
2014,IA,Ames,Low,Post,210,2,10,40,80,45,90,1,0.5,0.5,.,.
2014,IA,Ames,Low,Post,211,2,15,80,80,90,90,1.5,1.5,3,.,.
2014,IA,Ames,Low,Post,212,2,8,280,0,315,0,1,1,7.5,.,.
2014,IA,Ames,Low,Post,213,2,2,40,0,45,0,1,0.5,1,.,.
2014,IA,Ames,Low,Post,214,2,13,40,200,45,225,12.5,0.5,1,.,.
2014,IA,Ames,Low,Post,215,2,6,200,0,225,0,4,4.5,4,.,.
2014,IA,Ames,Low,Post,216,2,14,40,240,45,270,5.5,4,4.5,.,.
2014,IA,Ames,Low,Post,301,3,1,0,0,0,0,1,0.5,0.5,.,.
2014,IA,Ames,Low,Post,302,3,9,40,40,45,45,0.5,0.5,1.5,.,.
2014,IA,Ames,Low,Post,303,3,12,40,160,45,180,0.5,1.5,5.5,.,.
2014,IA,Ames,Low,Post,304,3,14,40,240,45,270,1.5,13,13,.,.
2014,IA,Ames,Low,Post,305,3,6,200,0,225,0,1,1,5,.,.
2014,IA,Ames,Low,Post,306,3,13,40,200,45,225,2.5,1.5,10.5,.,.
2014,IA,Ames,Low,Post,307,3,3,80,0,90,0,1.5,1,0.5,.,.
2014,IA,Ames,Low,Post,308,3,16,80,160,90,180,3,2,2,.,.
2014,IA,Ames,Low,Post,309,3,11,40,120,45,135,2,4.5,0.5,.,.
2014,IA,Ames,Low,Post,310,3,5,160,0,180,0,1,0.5,1.5,.,.
2014,IA,Ames,Low,Post,311,3,7,240,0,270,0,1.5,3.5,11,.,.
2014,IA,Ames,Low,Post,312,3,4,120,0,135,0,0.5,0.5,0.5,.,.
2014,IA,Ames,Low,Post,313,3,15,80,80,90,90,1.5,2,5.5,.,.
2014,IA,Ames,Low,Post,314,3,10,40,80,45,90,1,0.5,0.5,.,.
2014,IA,Ames,Low,Post,315,3,8,280,0,315,0,7,39,52.5,.,.
2014,IA,Ames,Low,Post,316,3,2,40,0,45,0,1.5,1,0.5,.,.
2014,IA,Ames,Low,Post,401,4,4,120,0,135,0,1.5,0.5,1,.,.
2014,IA,Ames,Low,Post,402,4,16,80,160,90,180,0.5,0.5,7,.,.
2014,IA,Ames,Low,Post,403,4,9,40,40,45,45,0.5,1,0.5,.,.
2014,IA,Ames,Low,Post,404,4,15,80,80,90,90,0.5,0.5,3,.,.
2014,IA,Ames,Low,Post,405,4,7,240,0,270,0,1.5,22.5,20,.,.
2014,IA,Ames,Low,Post,406,4,10,40,80,45,90,1.5,2,0.5,.,.
2014,IA,Ames,Low,Post,407,4,5,160,0,180,0,1,1,3,.,.
2014,IA,Ames,Low,Post,408,4,12,40,160,45,180,4,6.5,11.5,.,.
2014,IA,Ames,Low,Post,409,4,13,40,200,45,225,5,18,9.5,.,.
2014,IA,Ames,Low,Post,410,4,2,40,0,45,0,1,0.5,0.5,.,.
2014,IA,Ames,Low,Post,411,4,8,280,0,315,0,1,1,8.5,.,.
2014,IA,Ames,Low,Post,412,4,1,0,0,0,0,0.5,0.5,0.5,.,.
2014,IA,Ames,Low,Post,413,4,11,40,120,45,135,2.5,5.5,9,.,.
2014,IA,Ames,Low,Post,414,4,3,80,0,90,0,1,1.5,0.5,.,.
2014,IA,Ames,Low,Post,415,4,6,200,0,225,0,3,4,6,.,.
2014,IA,Ames,Low,Post,416,4,14,40,240,45,270,7,11.5,10,.,.
2014,IA,Ames,Low,PPNT,.,1,.,.,.,.,.,7,6,3,4,.
2014,IA,Ames,Low,PPNT,.,2,.,.,.,.,.,7.5,6.5,4,4.9,.
2014,IA,Ames,Low,PPNT,.,3,.,.,.,.,.,4.5,5,3,3.9,.
2014,IA,Ames,Low,PPNT,.,4,.,.,.,.,.,6,4.5,4,3.3,.
2014,IA,Ames,Low,PSNT,101,1,2,40,0,45,0,13.5,5,.,.,.
2014,IA,Ames,Low,PSNT,102,1,3,80,0,90,0,21.5,5.5,.,7,.
2014,IA,Ames,Low,PSNT,108,1,5,160,0,180,0,41.5,9,.,12.1,.
2014,IA,Ames,Low,PSNT,109,1,1,0,0,0,0,6.5,5,.,6.5,.
2014,IA,Ames,Low,PSNT,110,1,4,120,0,135,0,22,7,.,.,.
2014,IA,Ames,Low,PSNT,114,1,6,200,0,225,0,25.5,9,.,.,.
2014,IA,Ames,Low,PSNT,115,1,7,240,0,270,0,37.5,9.5,.,14.7,.
2014,IA,Ames,Low,PSNT,116,1,8,280,0,315,0,50.5,19,.,.,.
2014,IA,Ames,Low,PSNT,201,2,5,160,0,180,0,26,10.5,.,8,.
2014,IA,Ames,Low,PSNT,203,2,7,240,0,270,0,38.5,11.5,.,8.2,.
2014,IA,Ames,Low,PSNT,205,2,1,0,0,0,0,12,8.5,.,7.9,.
2014,IA,Ames,Low,PSNT,208,2,3,80,0,90,0,20.5,8,.,6.6,.
2014,IA,Ames,Low,PSNT,209,2,4,120,0,135,0,18.5,6,.,.,.
2014,IA,Ames,Low,PSNT,212,2,8,280,0,315,0,47.5,9,.,.,.
2014,IA,Ames,Low,PSNT,213,2,2,40,0,45,0,13.5,8,.,.,.
2014,IA,Ames,Low,PSNT,215,2,6,200,0,225,0,45.5,11,.,.,.
2014,IA,Ames,Low,PSNT,301,3,1,0,0,0,0,8.5,6,.,6.1,.
2014,IA,Ames,Low,PSNT,305,3,6,200,0,225,0,36.5,9.5,.,.,.
2014,IA,Ames,Low,PSNT,307,3,3,80,0,90,0,24,9,.,5.9,.
2014,IA,Ames,Low,PSNT,310,3,5,160,0,180,0,35.5,6.5,.,7.4,.
2014,IA,Ames,Low,PSNT,311,3,7,240,0,270,0,37.5,10,.,9.3,.
2014,IA,Ames,Low,PSNT,312,3,4,120,0,135,0,23.5,6.5,.,.,.
2014,IA,Ames,Low,PSNT,315,3,8,280,0,315,0,63.5,12.5,.,.,.
2014,IA,Ames,Low,PSNT,316,3,2,40,0,45,0,12.5,7.5,.,.,.
2014,IA,Ames,Low,PSNT,401,4,4,120,0,135,0,23.5,8.5,.,.,.
2014,IA,Ames,Low,PSNT,405,4,7,240,0,270,0,52.5,9.5,.,16.6,.
2014,IA,Ames,Low,PSNT,407,4,5,160,0,180,0,32,9,.,10.2,.
2014,IA,Ames,Low,PSNT,410,4,2,40,0,45,0,10.5,4,.,.,.
2014,IA,Ames,Low,PSNT,411,4,8,280,0,315,0,53.5,9,.,.,.
2014,IA,Ames,Low,PSNT,412,4,1,0,0,0,0,7.5,3.5,.,5,.
2014,IA,Ames,Low,PSNT,414,4,3,80,0,90,0,20,5,.,4.9,.
2014,IA,Ames,Low,PSNT,415,4,6,200,0,225,0,39,8,.,.,.
2014,IA,MasonCity,High,Post,101,1,2,40,0,45,0,3,2,1,.,.
2014,IA,MasonCity,High,Post,102,1,3,80,0,90,0,4,2,0.5,.,.
2014,IA,MasonCity,High,Post,103,1,9,40,40,45,45,6.5,5.5,1,.,.
2014,IA,MasonCity,High,Post,104,1,14,40,240,45,270,82,33,15.5,.,.
2014,IA,MasonCity,High,Post,105,1,16,80,160,90,180,41,16,6,.,.
2014,IA,MasonCity,High,Post,106,1,13,40,200,45,225,58,36,12.5,.,.
2014,IA,MasonCity,High,Post,107,1,10,40,80,45,90,23,10,2.5,.,.
2014,IA,MasonCity,High,Post,108,1,5,160,0,180,0,5.5,3,1.5,.,.
2014,IA,MasonCity,High,Post,109,1,1,0,0,0,0,5,1,0.5,.,.
2014,IA,MasonCity,High,Post,110,1,4,120,0,135,0,4,2,0.5,.,.
2014,IA,MasonCity,High,Post,111,1,12,40,160,45,180,37.5,20.5,3.5,.,.
