Trial#,Year,State,Site,Site_Prod,Plot_ID,Block,N_Trt,Plant_N,Side_N,Plant_N_SI,Side_N_SI,Plot_ha,Plnt_Pop,VTPwet,Vtsubwet,Vtsubdry,VT_TissN,VTPM,VTPdry,VTNC,VTBdryY,VTN,PMPwet,PMsubwet,PMsubdry,PMGdry,PMCdry,PM_TissN,PM_GrainN,PMPM,PMPdry,VN,GN,CN,PMN,CHI,HI,GRwt,GRM,Yield_SY,Yield_Bu,GYdry,CYdry,VYdry,TotdryM,V5Pdry,V5_TissN,V5NC,V5BdryY,V5N,V9Pwet,V9subwet,V9subdry,V9_TissN,V9PM,V9Pdry,V9NC,V9BdryY,V9N,R4Pwet,R4subwet,R4subdry,R4_TissN,R4PM,R4Pdry,R4NC,R4BdryY,R4N,Comments
1,2014,IA,Ames,Low,101,1,2,40,0,45,0,0.00418,37171,630,.,.,1.25,0.0,630.0,7.9,9636.4,120.5,1040,391.9,224.59,500.86,68.77,0.66,0.9,42.7,596,63.9,73.3,6.6,143.8,0.879,0.43,41.35486,18.9,9635.8,153.7,8142.2,1118,9688.9,18949.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,102,1,3,80,0,90,0,0.00418,36203,685,.,.,1.76,0.0,685.0,12.1,10204.9,179.6,1500,446.9,234.82,917.35,117.15,0.78,1.06,47.5,788.2,72.6,114.8,9,196.4,0.887,0.503,54.8432,19.1,12819.2,204.4,10832.2,1383.3,9306.7,21522.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,103,1,9,40,40,45,45,0.00418,34654,645,.,.,1.67,0.0,645.0,10.8,9197.9,153.6,1440,489.3,250.59,972.89,123.41,0.75,1.04,48.8,737.5,61.4,112.4,8.3,182.2,0.887,0.531,54.707,19.2,12788.2,203.9,10806,1370.7,8191.3,20368.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,104,1,14,40,240,45,270,0.00418,36978,595,.,.,1.91,0.0,595.0,11.4,9053.7,172.9,1080,449.3,260.86,859.5,109.4,0.93,1.15,41.9,627,81.4,137.9,10.5,229.9,0.887,0.539,61.3808,19.7,14195.7,226.4,11995.4,1526.8,8751.1,22273.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,105,1,16,80,160,90,180,0.00418,33493,795,.,.,2.08,0.0,795.0,16.5,10956.9,227.9,1400,422.2,226.64,999.42,123.08,0.82,1.2,46.3,751.5,73,142.1,10.3,225.4,0.89,0.533,60.2458,19.5,14011.4,223.4,11839.7,1458.1,8903,22200.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,106,1,13,40,200,45,225,0.00418,34848,850,.,.,2.02,0.0,850.0,17.2,12189.0,246.2,1400,555.3,277.44,1015.08,120.42,0.87,1.15,50,699.5,74,142,10.4,226.5,0.894,0.553,63.1968,19.9,14616.8,233.1,12351.2,1465.2,8510.9,22327.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,107,1,10,40,80,45,90,0.00418,36203,655,.,.,1.94,0.0,655.0,12.7,9757.9,189.3,1280,598.2,306.88,934.66,114.54,0.79,1.06,48.7,656.6,68.3,130.4,9.5,208.3,0.891,0.548,62.7428,19.5,14562.1,232.2,12305,1507.9,8644.9,22457.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,108,1,5,160,0,180,0,0.00418,34267,605,.,.,1.93,0.0,605.0,11.7,8531.1,164.6,1540,488.1,268.79,994.11,130.79,0.79,1.21,44.9,848.1,78.1,140.2,10.5,228.8,0.884,0.504,59.1562,19.8,13711.4,218.6,11586.1,1524.3,9883.9,22994.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,109,1,1,0,0,0,0,0.00418,36784,595,.,.,1.14,0.0,595.0,6.8,9006.3,102.7,1020,393.7,218.06,496.74,67.87,0.47,0.9,44.6,565,33.6,56.5,4.3,94.5,0.88,0.44,31.8935,19.2,7435.4,118.6,6282.9,858.4,7145.7,14287.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,2014,IA,Ames,Low,110,1,4,120,0,135,0,0.00418,36397,750,.,.,2.04,0.0,750.0,15.3,11233.0,229.2,1520,438.5,226.54,884.97,110.33,0.79,1.1,48.3,785.3,80.3,125.9,9.9,216.1,0.889,0.497,58.4298,19.6,13548.7,216.1,11448.6,1427.3,10158.8,23034.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
