"species","trt","doy","agb_g"
"A","ctrl",237,13.54758
"A","ctrl",237,12.17622
"A","ctrl",237,8.64564
"A","ctrl",237,13.9014
"A","ctrl",237,13.88388
"A","ctrl",237,5.658
"A","ctrl",237,9.2601
"A","ctrl",237,9.25404
"A","ctrl",237,10.93956
"A","ctrl",237,8.38224
"A","ctrl",237,12.75672
"A","ctrl",237,7.56948
"B","ctrl",237,11.62896
"B","ctrl",237,12.38148
"B","ctrl",237,7.19496
"B","ctrl",237,11.121
"B","ctrl",237,10.33722
"B","ctrl",237,13.95312
"B","ctrl",237,13.66044
"B","ctrl",237,12.82686
"B","ctrl",237,12.21108
"B","ctrl",237,10.78494
"B","ctrl",237,2.34492
"B","ctrl",237,11.78526
"C","ctrl",237,10.3173
"C","ctrl",237,12.80754
"C","ctrl",237,13.9623
"C","ctrl",237,10.84782
"C","ctrl",237,7.64706
"C","ctrl",237,9.07734
"C","ctrl",237,9.53514
"C","ctrl",237,13.49142
"C","ctrl",237,8.88762
"C","ctrl",237,11.1162
"C","ctrl",237,11.31966
"C","ctrl",237,9.41988
"D","ctrl",237,11.50062
"D","ctrl",237,11.0352
"D","ctrl",237,13.8129
"D","ctrl",237,10.77318
"D","ctrl",237,8.36526
"D","ctrl",237,12.77988
"D","ctrl",237,8.29368
"D","ctrl",237,11.28888
"D","ctrl",237,8.87124
"D","ctrl",237,9.01896
"D","ctrl",237,7.28856
"D","ctrl",237,7.90458
"E","ctrl",237,16.40292
"E","ctrl",237,7.42284
"E","ctrl",237,6.09996
"E","ctrl",237,11.04348
"E","ctrl",237,9.48456
"E","ctrl",237,13.14672
"E","ctrl",237,7.79988
"E","ctrl",237,14.9979
"E","ctrl",237,7.89036
"E","ctrl",237,19.9824
"A","flood",237,8.88576
"A","flood",237,8.70438
"A","flood",237,7.03416
"A","flood",237,8.67438
"A","flood",237,10.47702
"A","flood",237,9.77082
"A","flood",237,10.5648
"A","flood",237,6.08712
"A","flood",237,6.8196
"A","flood",237,9.58608
"A","flood",237,3.90732
"A","flood",237,8.72844
"B","flood",237,16.42884
"B","flood",237,14.30124
"B","flood",237,6.4629
"B","flood",237,17.43012
"B","flood",237,11.92146
"B","flood",237,4.66674
"B","flood",237,5.55522
"B","flood",237,4.18344
"B","flood",237,2.9808
"B","flood",237,4.45578
"B","flood",237,9.19404
"B","flood",237,10.94184
"C","flood",237,11.75106
"C","flood",237,12.9138
"C","flood",237,7.57884
"C","flood",237,7.64646
"C","flood",237,7.42488
"C","flood",237,9.60756
"C","flood",237,7.90338
"C","flood",237,11.0106
"C","flood",237,6.99276
"C","flood",237,8.31144
"C","flood",237,9.58938
"C","flood",237,4.73958
"D","flood",237,8.56662
"D","flood",237,7.59354
"D","flood",237,10.03128
"D","flood",237,7.19376
"D","flood",237,12.14064
"D","flood",237,9.3183
"D","flood",237,5.628
"D","flood",237,7.70712
"D","flood",237,10.83144
"D","flood",237,10.28856
"D","flood",237,8.4714
"D","flood",237,9.792
"E","flood",237,6.05112
"E","flood",237,8.69916
"E","flood",237,9.05388
"E","flood",237,8.44548
"E","flood",237,7.39644
"E","flood",237,3.75348
"E","flood",237,3.57
"E","flood",237,8.6688
"E","flood",237,7.02408
"E","flood",237,4.84236
